Booking_ID,no_of_adults,no_of_children,no_of_weekend_nights,no_of_week_nights,type_of_meal_plan,required_car_parking_space,room_type_reserved,lead_time,arrival_date,market_segment_type,repeated_guest,no_of_previous_cancellations,no_of_previous_bookings_not_canceled,avg_price_per_room,no_of_special_requests,booking_status
INN00001,2,0,1,2,meal_plan_1,0,room_type1,224,10/2/2017,offline,0,0,0,65,0,not_canceled
INN00002,2,0,2,3,not_selected,0,room_type1,5,11/6/2018,online,0,0,0,106.68,1,not_canceled
INN00003,1,0,2,1,meal_plan_1,0,room_type1,1,2/28/2018,online,0,0,0,60,0,canceled
INN00004,2,0,0,2,meal_plan_1,0,room_type1,211,5/20/2018,online,0,0,0,100,0,canceled
INN00005,2,0,1,1,not_selected,0,room_type1,48,4/11/2018,online,0,0,0,94.5,0,canceled
INN00006,2,0,0,2,meal_plan_2,0,room_type1,346,9/13/2018,online,0,0,0,115,1,canceled
INN00007,2,0,1,3,meal_plan_1,0,room_type1,34,10/15/2017,online,0,0,0,107.55,1,not_canceled
INN00008,2,0,1,3,meal_plan_1,0,room_type4,83,12/26/2018,online,0,0,0,105.61,1,not_canceled
INN00009,3,0,0,4,meal_plan_1,0,room_type1,121,7/6/2018,offline,0,0,0,96.9,1,not_canceled
INN00010,2,0,0,5,meal_plan_1,0,room_type4,44,10/18/2018,online,0,0,0,133.44,3,not_canceled
INN00011,1,0,1,0,not_selected,0,room_type1,0,9/11/2018,online,0,0,0,85.03,0,not_canceled
INN00012,1,0,2,1,meal_plan_1,0,room_type4,35,4/30/2018,online,0,0,0,140.4,1,not_canceled
INN00013,2,0,2,1,not_selected,0,room_type1,30,11/26/2018,online,0,0,0,88,0,canceled
INN00014,1,0,2,0,meal_plan_1,0,room_type1,95,11/20/2018,online,0,0,0,90,2,canceled
INN00015,2,0,0,2,meal_plan_1,0,room_type1,47,10/20/2017,online,0,0,0,94.5,2,not_canceled
INN00016,2,0,0,2,meal_plan_2,0,room_type1,256,6/15/2018,online,0,0,0,115,1,canceled
INN00017,1,0,1,0,meal_plan_1,0,room_type1,0,10/5/2017,offline,0,0,0,96,0,not_canceled
INN00018,2,0,1,3,not_selected,0,room_type1,1,8/10/2017,online,0,0,0,96,1,not_canceled
